,Staatsforst,Privat,Summe,Fallwild allg.,Fallwild Verkehr
Rotwild,8,1,9,0,0
Damwild,16,6,22,1,0
Schwarzwild,93,91,184,4,7
Rehwild insg.,147,1051,1198,106,236
Bockkitze,17,81,98,21,23
Jährlinge,26,204,230,11,36
Böcke,19,199,218,14,41
Summe männlich,62,484,546,46,100
Rehkitze,32,185,217,22,37
Schmalrehe,14,159,173,18,35
Ricken,39,223,262,20,64
Summe weiblich,85,567,652,60,136
Feldhase,0,621,621,52,85
Wildkaninchen,0,1424,1424,67,44
Fuchs,3,473,476,10,28
Steinmarder,0,196,196,6,15
Dachs,1,8,9,1,4
Waschbär,0,2,2,0,0
Marderhund,0,11,11,0,1
Baummarder,0,0,0,0,0
Iltis,0,3,3,0,3
Hermelin,0,4,4,0,4
Mauswiesel,0,3,3,0,3
Summe,4,2745,2749,136,187
Fasan,0,391,391,34,19
Stockente,0,1454,1454,32,27
Reiherente,0,15,15,0,0
Ringeltaube,0,854,854,46,0
Graugans,0,248,248,7,2
Kanadagans,0,166,166,0,0
Rabenkrähe,0,1372,1372,2,16
Elster,0,378,378,1,2
Höckerschwan,0,17,17,7,0
Blässgans,0,0,0,0,0
Saatgans,0,0,0,0,0
Ringelgans,0,0,0,0,0
Pfeifente,0,0,0,0,0
Krickente,0,0,0,0,0
Spießente,0,0,0,0,0
Bergente,0,0,0,0,0
Tafelente,0,0,0,0,0
Samtente,0,0,0,0,0
Trauerente,0,0,0,0,0
Waldschnepfe,0,0,0,0,0
Blässhuhn,0,1,1,0,1
Lachmöwe,0,6,6,0,6
Silbermöwe,0,0,0,0,0
Sturmmöwe,0,4,4,0,4
Mantelmöwe,0,0,0,0,0
Heringsmöwe,0,0,0,0,0
Rebhuhn,0,0,0,0,0
Türkentaube,0,0,0,0,0
Summe,0,4906,4906,129,77
wildernde Hunde,0,0,0,0,0
wildernde Katzen,0,49,49,0,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
